id,artifact_type,description,person,source_url,source_type,date,commit_sha,local_path,sha256,evidence_tier,relevance,notes
1,rng_impl,ACPC/CPRG shared MT19937 rng.c byte-identical across ecosystem,Burch-era CPRG,https://github.com/rggibson/open-pure-cfr,git,2013-2017,24494e0824d021f6c87f29e256a0950979b5f043,/workspace/forensics/open-pure-cfr/acpc_server_code/rng.c,0e4a4d7ac3d310500f1dbd40e5d0d268d31d1dfecf5183314b99abf3aa646661,3,D,also in project_acpc_server mirror + DS reference_lua + third_party/CFR_plus
2,seed_convention,open-pure-cfr 4-seed CLI --rng=s1:s2:s3:s4|TIME; default {6;12;1983;28}; per-thread seeds[i]=base+1234+4*thread+i; init_by_array; seeds dumped to results,Richard Gibson (+Burch/Johanson optimizations),https://github.com/rggibson/open-pure-cfr,git,2013,24494e0824d021f6c87f29e256a0950979b5f043,/workspace/forensics/open-pure-cfr/parameters.cpp,,3,D/E,CPRG worker-seed-derivation fingerprint
3,dealing_inheritance,open-pure-cfr generate_hand calls ACPC dealCards directly (genrand%numCards+swap sampler in offline solver),Richard Gibson,https://github.com/rggibson/open-pure-cfr,git,2013,24494e0824d021f6c87f29e256a0950979b5f043,/workspace/forensics/open-pure-cfr/pure_cfr_machine.cpp,,3,board sampler,precedent for ACPC sampler family in offline datagen
4,descendant_conventions,TensorCFR generate_data --seed --size; seed=offset+generation*size; per-seed dataset files; Metacentrum #PBS jobs,Lisy/Rudolf/Ha (beyond-deepstack),https://github.com/mathemage/TensorCFR,git,2018-2019,8907e7ea6ed8670202419f02910b31e30ed0ad79,/workspace/forensics/TensorCFR,,3,B/D/E conventions,GitLab origin egress-blocked; GitHub mirror full history 2886 commits
5,fork_network_neg,DeepStack-Leduc 223-fork ls-remote sweep: 6 forks with own commits; none original; sjtuwy=community NLHE-HU adaptation,community,https://github.com/lifrordi/DeepStack-Leduc,git,2017-2022,da416f9646725def43e668851593de13ead8b607,/home/user/quant-trade/FORENSICS/SCRIPTS/fork_sweep_results.txt,,4,A/B/C negative,exhaustive enumeration; GONE forks recorded in results file
6,upstream_history_neg,DeepStack-Leduc upstream has only 2 commits (import + readme fix) by Martin Schmid 2017-04-05,Martin Schmid,https://github.com/lifrordi/DeepStack-Leduc,git,2017-04-05,bd344ca+da416f96,/workspace/lifrordi/deepstack-leduc,,2,B negative,no dev history to mine
7,supplementary_wording,pot interval sampling wording incl. [6000;19950] confirmed via search snippet of official supplementary PDF,DeepStack team,https://poker.cs.ualberta.ca/publications/17science-supplementary.pdf,pdf-snippet,2017,,,,2,pot sampler,direct fetch egress-blocked
8,burch_thesis,"Burch PhD located; ""generated one data set used to train the evaluation function"" confirmed via snippet",Neil Burch,https://poker.cs.ualberta.ca/publications/Burch_Neil_E_201712_PhD.pdf,pdf-snippet,2017-12,,,,2,provenance actor,direct fetch egress-blocked
9,waugh_hand_iso,Waugh hand-isomorphism reference implementation,Kevin Waugh (kdub0),https://github.com/kdub0/hand-isomorphism,git,2013+,dabcee4a84c1d62ee6ded9b6ff02ece6823fcc0f,/workspace/forensics/hand-isomorphism,,3,hand ordering candidates,not yet mined
10,acpc_game_c_versions,open-pure-cfr vendored game.c differs from DS-era ACPCServer game.c (083ff9d9 vs 85b5325d),CPRG,https://github.com/rggibson/open-pure-cfr,git,2013,24494e0824d021f6c87f29e256a0950979b5f043,/workspace/forensics/open-pure-cfr/acpc_server_code/game.c,083ff9d9cc91a4b99870,3,ACPC revision tracking,DS-era anchor 85b5325d confirmed 3x elsewhere
11,author_tool_oracle,count_nl_infosets.tar (Mike Johanson Feb 1 2013) - first-party HUNL betting-rule + game-size oracle; Royal[2-20] Table7 12/12 EXACT; ACPC 2009 + 2007-08 fresh runs byte-identical to author outputs; 2010-13 $50/$100 stack-20000 author output retained as reference (not rerun - 6.4GB/2day),Michael Johanson,owner-upload,tar,2013-02-01,,FORENSICS/ARTIFACTS/count_nl_infosets/,6fcf5fa41387ed71f720c9c850c47b7b111830b68f979853a8c3f998365ac0c8,1,base NL legality oracle (min_bet=max(BB;faced); short all-in exception),tar NOW IN SESSION (owner upload 2026-08-16); 2009+2007-08 reproduced BYTE-IDENTICAL in-session; royal Table7 12/12; source vendored SOURCE/
12,tech_report,Johanson 2013 Measuring the Size of Large No-Limit Poker Games (16pp) - algorithm + Table 7 + ACPC game sizes incl. 50/100/20000: States 6.31144e164,Michael Johanson,owner-upload,pdf,2013-02-26,,certification/leduc_restore/archives/2013techreportnlsize.pdf,4a6e9c6b472843e4f66a0cb3c622f9fb549b02fa6c405ae3261bc6c2c3fae598,1,first-party game-size anchors for our exact HUNL config,royal Table7 cross-checked against fresh run this session
